KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,
429.01,4.0370,2667,150,105.52804,0.00079,8.600087,0.000048,17.1,0.1,0.04762,0.00023,0.027,0.017,4.8,0.081,760,4.3E-05,3,,,
430.01,2.7448,1585,52,112.4041,0.0016,12.37645,0.00019,33,80,0.038,0.018,0.4,1.7,2.7,0.087,493,1.4E-05,2,,,
431.01,3.1580,1039,44,111.7122,0.002,18.86998,0.00031,36,84,0.033,0.015,0.7,1.3,3.6,0.139,622,1.2E-05,2,,,
431.02,3.8717,768,24,87.3073,0.0045,46.90198,0.00094,51,68,0.032,0.008,0.88,0.66,3.5,0.254,460,-,4,,,
432.01,2.1018,959,72,107.35008,0.0009,5.263436,0.000033,14,24,0.0321,0.0096,0.7,1.1,3.6,0.061,1049,2.3E-05,2,,,
433.01,2.8751,2730,104,104.09249,0.00084,4.03042,0.000023,11,19,0.049,0.018,0.3,1.5,5.8,0.05,1076,4.7E-05,3,,,
433.02,11.7758,12016,195,132.2029,0.0013,328.2403,0.0019,176.2,8.4,0.1133,0.0013,0.73,0.18,13.4,0.935,249,-,4,,,
435.01,5.4169,1436,57,111.9483,0.0019,20.54902,0.00033,29.53,0.4,0.0352,0.00041,0.003,0.01,3.0,0.148,579,2.2E-05,2,,,
438.01,2.3764,866,42,107.7956,0.0017,5.931204,0.00007,16,39,0.03,0.016,0.6,1.4,2.2,0.056,668,2.3E-05,2,,,
439.01,2.1891,2065,201,103.44904,0.00038,1.9022064,0.000005,5.8,4.1,0.0447,0.0063,0.56,0.83,2.7,0.029,1014,2.5E-05,2,NoObs,,
440.01,4.0463,907,41,110.9313,0.0023,15.90655,0.00027,22,47,0.031,0.014,0.7,1.2,2.8,0.12,576,7.2E-05,2,NoObs,,
440.02,1.6038,689,36,103.8861,0.0015,4.973444,0.00005,23.7,0.77,0.02488,0.00048,0.031,0.048,2.2,0.055,850,9.6E-05,2,NoObs,,
442.01,4.4306,392,26,104.6832,0.0043,13.53981,0.00041,23.22,0.68,0.01862,0.00048,0.008,0.01,1.9,0.113,722,8.2E-05,2,NoObs,,
442.02,2.3333,173,23,67.5316,0.0036,1.732341,0.000026,6.29,0.2,0.01435,0.00037,0.06,-,1.4,0.029,1425,-,4,,,
443.01,4.7403,686,44,113.0459,0.0027,16.21718,0.0003,26.46,0.44,0.02481,0.00037,0.0056,-,2.2,0.127,631,3.7E-05,2,,,
444.01,4.0665,432,29,110.3174,0.0039,11.7228,0.00031,22,114,0.02,0.019,0,2.7,2.0,0.103,763,8.4E-05,2,NoObs,,
446.01,2.7087,790,23,107.7539,0.0032,16.70916,0.00036,32,129,0.03,0.025,0.8,1.5,2.3,0.115,490,2.4E-05,2,NoObs,,
446.02,3.7173,561,14,118.4722,0.0066,28.5532,0.0015,59,364,0.022,0.031,0.2,2.9,1.7,0.164,411,2.6E-05,2,NoObs,,
448.01,2.8620,1164,27,111.4491,0.0033,10.13961,0.00023,28.6,1.2,0.03002,0.00094,0.013,0.04,2.3,0.079,564,1.7E-04,2,NoObs,,
448.02,5.0051,2158,33,127.4625,0.0037,43.6205,0.0013,45,38,0.0488,0.0088,0.79,0.67,3.8,0.21,346,1.5E-04,2,NoObs,,
452.01,5.0013,422,50,102.9417,0.0025,3.705996,0.000064,5.758,0.08,0.01956,0.00025,0.0028,-,2.3,0.048,1242,6.7E-05,2,,,
454.01,4.6580,766,23,103.5546,0.0047,29.008,0.001,40,156,0.027,0.022,0.6,1.9,2.4,0.181,487,2.8E-05,2,,,
456.01,4.2628,1007,51,104.4739,0.0023,13.70035,0.00023,25.57,0.38,0.03051,0.00039,0.009,0.022,3.1,0.114,714,2.9E-05,2,,,
456.02,2.9208,222,18,67.0265,0.0054,4.30954,0.0001,13.06,0.56,0.01621,0.00054,0.0615,-,1.7,0.053,1047,-,4,,,
457.01,1.8924,684,40,107.2985,0.0017,4.921331,0.000057,13,40,0.028,0.017,0.8,1.3,2.2,0.054,799,3.2E-05,2,,,
458.01,4.0333,3084,60,141.0775,0.0018,53.71858,0.00079,49,15,0.0768,0.0062,0.93,0.28,10.5,0.286,515,1.1E-05,3,,,
459.01,3.5933,899,47,103.1027,0.0022,19.44639,0.00036,24,20,0.0325,0.0045,0.84,0.59,3.7,0.144,664,6.9E-05,2,,,
459.02,3.3100,145,13,67.1191,0.0079,6.91977,0.00023,16.04,0.25,0.0113,0.00058,0.12,0.01,1.3,0.072,939,-,4,,,
460.01,4.2947,1332,64,109.0751,0.0018,17.58782,0.00022,32.97,0.43,0.03389,0.00036,0.031,0.036,4.3,0.134,696,7.1E-05,2,,,
463.01,2.2233,2610,60,118.2658,0.0014,18.47817,0.00019,83.5,2.1,0.04736,0.00092,0.0236,-,3.5,0.107,398,7.9E-05,2,NoObs,,
464.01,6.3270,5126,162,129.55353,0.00077,58.3625,0.00033,76.39,0.36,0.06667,0.00028,0.0095,-,7.1,0.295,430,2.7E-05,2,1,,
464.02,2.2822,668,42,128.7576,0.0023,5.350243,0.000097,17,74,0.025,0.022,0.4,2.3,2.7,0.06,953,5.1E-05,2,1,,
†465.01,7.8994,1483,25,137.0202,0.0047,350,-,177,53,0.0442,0.0015,0.82,0.24,4.8,1.002,266,3.2E-05,3,,,
466.01,2.1253,2512,71,103.53919,0.00086,9.391009,0.000057,31.7,9.5,0.04855,0.00057,0.216,0.065,3.1,0.087,679,-,2,,,
467.01,4.8878,2916,129,115.4428,0.0011,18.00891,0.00013,29.66,0.19,0.05027,0.00026,0.002,-,5.0,0.136,636,1.8E-05,2,,,
468.01,3.2229,1426,48,107.5957,0.0019,22.18452,0.0003,58.1,1.2,0.03537,0.00057,0.019,-,3.5,0.151,538,3.7E-05,2,,,
469.01,1.5075,2258,80,107.60632,0.00065,10.329116,0.00005,24.7,7.4,0.0612,0.0029,0.9,0.27,5.5,0.095,782,1.6E-05,2,,,
470.01,1.9936,2270,140,104.15067,0.00048,3.750839,0.000012,13,13,0.0464,0.0088,0.5,1,4.0,0.047,997,4.7E-05,2,,,
471.01,3.6749,465,24,104.7317,0.0048,21.34737,0.00069,25,58,0.0242,0.0095,0.84,0.98,2.0,0.151,551,4.6E-05,3,,,
472.01,3.4034,1349,85,106.5627,0.0012,4.243748,0.000035,9.95,0.11,0.03403,0.0003,0.0015,-,3.2,0.052,1023,1.5E-05,2,,,
473.01,2.3654,815,36,113.6359,0.0023,12.70512,0.00021,43.8,1.3,0.02715,0.0006,0.0281,-,2.2,0.105,629,5.6E-05,2,,,
474.01,3.1718,493,32,109.72,0.0027,10.94564,0.0002,27,132,0.021,0.018,0.2,2.6,2.3,0.1,863,2.4E-05,2,,,
474.02,3.3543,412,17,67.7739,0.0059,28.98843,0.00077,47,309,0.021,0.027,0.7,2.1,2.3,0.191,625,-,4,,,
475.01,2.5576,697,27,109.7,0.003,8.18066,0.00017,25.89,0.96,0.02514,0.00071,0.0033,-,2.4,0.078,740,1.6E-05,2,1,,
475.02,2.8820,818,26,104.7906,0.0035,15.31341,0.00037,33,154,0.028,0.027,0.6,2.1,2.6,0.118,602,1.5E-05,2,1,,
476.01,2.9423,685,22,111.4386,0.0038,18.42776,0.0005,40,188,0.025,0.025,0.6,2,2.4,0.133,567,3.0E-05,2,,,
477.01,3.7966,760,28,102.6428,0.0038,16.54318,0.00044,28,98,0.027,0.02,0.6,1.8,2.6,0.125,593,5.9E-05,2,,,
478.01,1.7873,1759,62,104.1148,0.0011,11.023452,0.000085,21.4,6.4,0.0515,0.0018,0.9,0.27,4.5,0.079,522,3.7E-05,3,NoObs,,
479.01,5.3442,1019,48,126.387,0.0025,34.18966,0.00069,41,85,0.031,0.012,0.6,1.4,3.2,0.209,518,1.3E-05,2,NoObs,,
480.01,2.0071,678,37,105.3089,0.0015,4.301702,0.000044,14,51,0.027,0.019,0.6,1.8,2.7,0.052,985,2.5E-05,2,,,
481.01,2.7127,910,56,104.969,0.0015,7.650377,0.000079,19,40,0.029,0.013,0.6,1.4,2.5,0.075,738,2.7E-05,2,1,,
481.02,1.6900,388,42,102.8291,0.0016,1.554014,0.000017,7,17,0.0197,0.0098,0.1,1.8,1.7,0.026,1253,3.3E-05,2,1,,
481.03,4.8919,962,38,116.228,0.0039,34.2603,0.00092,28,14,0.0355,0.0034,0.87,0.41,3.0,0.202,450,2.8E-05,2,1,,
483.01,3.0292,762,50,106.2564,0.0017,4.798596,0.000077,9,18,0.028,0.011,0.7,1.2,2.3,0.055,866,1.7E-05,2,,,
484.01,3.6637,968,38,108.059,0.0024,17.20516,0.0003,36.19,0.83,0.02881,0.00051,0.029,0.041,2.0,0.125,509,2.4E-05,2,,,
486.01,5.1182,625,31,102.4949,0.0041,22.1831,0.00058,26,84,0.025,0.015,0.6,1.6,1.4,0.152,454,2.5E-05,2,,,
487.01,3.0191,602,26,106.0424,0.0033,7.65867,0.00017,21.02,0.78,0.02338,0.00067,0.0423,-,2.4,0.077,837,3.1E-05,3,,,
488.01,3.3557,433,17,109.447,0.0048,9.37924,0.00032,14,61,0.021,0.015,0.8,1.5,2.2,0.088,797,4.7E-05,3,,,
490.01,2.3764,382,12,105.8695,0.007,4.39312,0.00021,10,76,0.021,0.033,0.7,2.2,2.3,0.051,932,7.9E-05,3,NoObs,,
490.03,2.8056,360,26,67.0685,0.0035,7.4063,0.00011,13,57,0.021,0.017,0.8,1.6,2.2,0.072,784,-,4,,,
492.01,6.3675,819,34,127.7091,0.0038,29.91151,0.00093,38.59,0.81,0.02692,0.00051,0.014,0.01,3.7,0.192,607,1.1E-04,2,,,
494.01,3.7520,957,26,121.7839,0.0035,25.69719,0.00067,44,152,0.031,0.024,0.6,1.8,1.8,0.157,388,1.2E-04,2,,,
496.01,1.5390,376,8,102.8045,0.0067,1.616844,0.000073,5,1.5,0.021,0.0026,0.66,0.2,2.7,0.027,1514,5.0E-05,3,NoObs,,
497.01,4.9474,516,32,108.6103,0.0036,13.19281,0.00032,15,37,0.0233,0.0095,0.7,1.3,2.5,0.113,785,1.3E-04,2,,,
497.02,3.6013,148,13,67.5572,0.0082,4.4255,0.00015,6,24,0.016,0.013,0.8,1.3,1.7,0.054,1135,-,4,,,
499.01,2.4759,373,24,107.5364,0.0032,9.66856,0.00022,18,79,0.021,0.016,0.8,1.5,2.0,0.089,750,1.2E-04,2,,,
500.01,2.5052,1343,51,109.4766,0.0017,7.053478,0.000083,22.62,0.47,0.03412,0.00054,0.0244,-,2.7,0.063,642,1.1E-04,2,1,,
500.02,2.4154,1306,44,110.4801,0.0021,9.5217,0.00014,29,83,0.035,0.023,0.4,1.8,2.8,0.076,584,1.0E-04,2,1,,
500.03,2.0724,400,22,67.025,0.0035,3.072166,0.000046,11.53,0.6,0.01825,0.00074,0.0162,-,1.5,0.036,849,-,4,,,
500.04,2.0486,490,22,67.5914,0.0034,4.645353,0.000067,11,51,0.026,0.023,0.8,1.5,2.1,0.047,743,-,4,,,
500.05,1.4084,266,22,66.1708,0.0027,0.986779,0.000012,5,19,0.015,0.014,0.4,2.2,1.2,0.017,1235,-,4,,,
501.01,7.9692,451,20,103.3382,0.0086,24.794,0.0015,23,123,0.02,0.02,0.2,2.7,2.1,0.169,580,2.0E-04,2,,,
503.01,2.6971,1303,41,105.9557,0.0018,8.22236,0.0001,24.44,0.6,0.03383,0.00065,0,0.01,2.5,0.067,575,2.5E-05,2,,,
504.01,5.3925,626,23,132.256,0.0043,40.6068,0.0015,58,1.8,0.02324,0.00066,0.017,0.028,1.7,0.228,411,1.2E-04,2,,,
505.01,2.9555,594,29,107.809,0.0026,13.76725,0.00025,39.7,1.4,0.02282,0.0006,0.011,0.01,3.1,0.113,734,2.4E-05,2,,,
506.01,1.1470,670,61,102.96485,0.00078,1.5831619,0.0000085,12.11,0.26,0.02594,0.00045,0.0211,-,2.5,0.027,1468,4.6E-05,3,,,
507.01,3.5887,1454,26,106.4976,0.0026,18.49248,0.00032,36,150,0.039,0.033,0.5,2.1,4.3,0.136,619,1.5E-04,2,,,
508.01,3.5907,685,46,102.5153,0.002,7.93059,0.00011,12,23,0.0272,0.0099,0.7,1.1,3.8,0.08,965,2.5E-05,2,1,,
508.02,4.0833,645,33,113.2053,0.0031,16.66519,0.00038,27,84,0.025,0.015,0.6,1.7,3.5,0.131,754,2.6E-05,2,1,,
509.01,2.7553,789,50,102.7129,0.0018,4.167068,0.000051,9,24,0.028,0.014,0.6,1.5,2.7,0.051,988,1.9E-04,2,,,
509.02,2.7152,840,33,70.3827,0.0028,11.46349,0.00014,23,94,0.03,0.025,0.7,1.6,2.9,0.1,705,-,4,,,
510.01,2.7078,410,29,102.8992,0.0026,2.940409,0.000053,5,16,0.023,0.012,0.8,1.2,2.7,0.041,1208,3.1E-05,2,1,,
510.02,3.1918,492,25,108.4732,0.0033,6.38914,0.00015,12,46,0.023,0.017,0.7,1.8,2.7,0.068,938,2.9E-05,2,1,,
511.01,3.2069,596,43,103.5031,0.0021,8.00573,0.00012,19.76,0.4,0.02329,0.00038,0.0106,-,2.8,0.081,936,5.6E-05,2,,,
512.01,3.3326,474,20,105.921,0.0044,6.5098,0.0002,15,90,0.02,0.025,0.4,2.6,2.6,0.069,985,2.2E-05,3,,,
513.01,7.0369,800,33,103.0988,0.0042,35.18059,0.00096,39.22,0.74,0.02732,0.0005,0.006,0.01,2.7,0.217,563,3.2E-05,2,,,
517.01,2.0898,694,55,104.2588,0.0012,2.75236,0.000024,7,15,0.028,0.011,0.8,1.1,3.6,0.039,1343,2.6E-05,2,NoObs,,
518.01,3.0039,927,50,114.9745,0.002,13.98172,0.00019,36.78,0.72,0.02854,0.00041,0.027,0.035,2.4,0.107,567,2.7E-05,2,1,,
518.02,5.0627,525,21,143.7633,0.0076,43.9985,0.0025,57,224,0.023,0.019,0.5,2,1.9,0.23,387,3.1E-05,2,1,,
519.01,4.1728,545,23,111.3384,0.005,11.90376,0.00043,16,66,0.024,0.017,0.7,1.8,2.4,0.104,768,4.2E-05,2,,,
520.01,3.4450,816,39,103.3046,0.0025,12.7599,0.00022,19,41,0.03,0.012,0.8,1.1,3.1,0.105,668,7.7E-05,2,,,
520.02,2.3531,260,16,71.3679,0.0049,5.43316,0.00012,11,62,0.019,0.02,0.8,1.7,2.0,0.06,884,-,4,,,
520.03,2.7291,668,22,69.4611,0.004,25.75125,0.00044,62,396,0.027,0.034,0.7,2.3,2.8,0.168,528,-,4,,,
521.01,3.0740,1200,57,105.0012,0.0017,10.16104,0.00012,23,64,0.033,0.016,0.5,1.7,3.9,0.094,868,3.0E-05,3,,,
522.01,2.8393,1042,39,102.9428,0.0022,12.83012,0.00019,35.55,0.15,0.03071,0.00052,0.0148,-,1.9,0.106,580,1.1E-04,2,,,
523.01,4.8395,3125,81,131.2301,0.0014,49.41297,0.00062,43.4,4.8,0.0629,0.0015,0.88,0.19,7.3,0.272,519,1.5E-05,2,,,
523.02,7.2861,586,21,71.9294,0.0081,36.8539,0.0014,39.6089,0.0058,0.02,0.19,0.073,0.014,2.7,0.223,573,-,4,,,
524.01,2.3748,923,56,105.0022,0.0014,4.592522,0.000042,15.85,0.3,0.02923,0.00041,0.0227,-,2.3,0.053,838,2.1E-05,2,,,
525.01,2.1406,1110,34,106.6783,0.0023,11.53219,0.00019,52,2,0.03138,0.00085,0.026,0.045,4.3,0.102,850,9.7E-05,2,,,
526.01,1.7639,853,73,104.04377,0.0008,2.104719,0.000012,6,10,0.0305,0.0088,0.7,1,2.6,0.032,1203,4.1E-05,2,,,
528.01,3.3634,648,38,109.6802,0.0023,9.57676,0.00016,17,44,0.025,0.012,0.7,1.4,3.1,0.09,855,2.3E-05,2,,,
528.02,6.0786,886,26,73.1959,0.006,96.6704,0.0024,130.6,3.9,0.02763,0.00072,0.031,0.06,3.4,0.419,396,-,4,,,
528.03,2.4763,662,23,78.0287,0.0039,20.55273,0.00034,61,625,0.026,0.053,0.6,3.1,3.2,0.149,664,-,4,,,
530.01,2.1729,522,18,103.3025,0.0036,10.94062,0.00026,40.2,3,0.0197,0.0011,0.001,0.01,1.3,0.095,619,2.7E-05,2,NoObs,,
531.01,1.3319,2593,156,103.88016,0.00035,3.6874622,0.0000089,26,19,0.0554,0.0076,0.52,0.86,4.3,0.038,749,1.6E-05,3,,1,
532.01,3.1402,579,42,106.6964,0.0022,4.221737,0.000066,11.06,0.23,0.02321,0.0004,0.0195,-,2.3,0.052,1089,1.7E-05,2,,,
533.01,4.2317,609,23,104.7024,0.0052,16.54915,0.0006,32.7,1.1,0.02425,0.00065,0.031,0.057,2.6,0.126,641,1.7E-05,2,,,
534.01,1.8349,693,31,107.0234,0.0021,6.400136,0.000094,17,67,0.03,0.022,0.8,1.4,2.0,0.065,706,5.8E-05,2,NoObs,,
534.02,1.8465,384,27,104.0967,0.0025,2.735879,0.000047,12.24,0.46,0.02015,0.00059,0.0291,-,1.4,0.037,936,6.8E-05,2,NoObs,,
535.01,4.5283,1014,89,104.1811,0.0014,5.852997,0.000054,10.152,0.089,0.02989,0.00023,0.0075,-,3.3,0.065,1011,5.4E-05,2,,,
536.01,7.5537,1126,29,111.5934,0.0054,162.3361,0.0078,150.1292,0.0072,0.03241,-,0.4793,-,3.0,0.588,296,1.7E-05,2,,,
537.01,2.4773,413,34,103.7859,0.0022,2.820204,0.000057,6,18,0.022,0.011,0.7,1.4,1.4,0.039,1003,2.0E-05,2,,,
538.01,5.3723,607,30,104.6569,0.0044,21.2147,0.00074,20,38,0.0255,0.0082,0.8,1,2.9,0.155,683,3.6E-05,2,,,
541.01,3.4665,521,18,113.3505,0.0044,13.64591,0.00044,20,89,0.025,0.02,0.8,1.5,1.9,0.11,603,3.0E-05,2,,,
542.01,5.8419,543,21,111.6873,0.0058,41.8867,0.0017,55.7,1.8,0.02195,0.00066,0.023,0.028,2.7,0.241,526,3.5E-05,3,,,
543.01,1.9101,694,36,106.4363,0.0019,4.302187,0.000057,17.38,0.52,0.02529,0.00057,0.0378,-,1.9,0.05,844,3.5E-05,2,,,
543.02,1.8077,304,18,66.5566,0.0038,3.137846,0.000051,15.57,0.68,0.02041,0.00067,0.0847,-,1.5,0.041,932,-,4,,,
546.01,6.2656,776,28,103.1884,0.0048,20.68457,0.00068,26.2,0.66,0.02575,0.0006,0.003,0.01,2.8,0.152,673,2.8E-05,3,,,
547.01,4.4977,2050,68,121.059,0.0017,25.30298,0.0003,44.79,0.56,0.04137,0.00043,0.0096,-,3.5,0.164,489,2.8E-05,2,,,
548.01,4.0011,583,25,122.7062,0.0042,21.30056,0.00071,30,111,0.026,0.016,0.7,1.7,2.6,0.155,654,2.4E-05,3,NoObs,,
550.01,4.1038,539,33,111.5233,0.0031,13.02371,0.00027,25.5,0.64,0.02143,0.00047,0.032,0.01,1.8,0.109,660,1.1E-04,2,NoObs,,
551.01,3.2954,564,24,111.8449,0.0039,11.63684,0.00034,19,75,0.025,0.018,0.7,1.6,2.1,0.101,688,1.3E-04,3,,,
551.02,2.1328,406,20,66.9544,0.0039,5.688042,0.000092,23.6,1.1,0.02122,0.00074,0.0662,-,1.8,0.063,871,-,4,,,
552.01,1.7536,7064,133,104.09836,0.0005,3.055172,0.000011,8.6,2.6,0.0967,0.0013,0.79,0.24,11.2,0.043,1316,6.9E-05,2,,,
554.01,2.2625,3255,43,103.5436,0.0016,3.658495,0.00004,6,1.3,0.0687,0.0034,0.9,0.25,6.1,0.047,1068,3.4E-05,3,,,
555.01,2.4562,227,18,105.4452,0.0043,3.70178,0.00011,7,31,0.018,0.015,0.8,1.5,1.5,0.046,947,8.0E-05,2,NoObs,,
555.02,6.8853,807,21,114.886,0.01,86.4958,0.0038,100.4,3.3,0.02676,0.00079,0.041,0.039,2.3,0.376,331,-,4,,,
557.01,3.7725,827,30,103.7845,0.0032,15.65554,0.00034,28,92,0.028,0.019,0.5,1.8,3.1,0.121,636,2.8E-05,3,,,
558.01,2.1952,694,30,106.0859,0.0025,9.17892,0.00016,34,128,0.025,0.019,0.1,2.3,2.3,0.085,730,1.8E-04,2,,,
559.01,2.4524,197,9.7,106.705,0.0067,4.33065,0.0002,11.6,3.5,0.0137,0.0011,0.29,0.087,1.4,0.052,981,3.4E-05,3,,,
560.01,4.2117,813,14,112.2715,0.0067,23.6758,0.0011,35,234,0.028,0.039,0.6,2.4,1.8,0.154,445,3.0E-05,2,,,
561.01,2.5786,451,32,102.6083,0.0024,5.379017,0.000089,11,33,0.024,0.013,0.7,1.4,2.1,0.058,829,1.9E-05,2,NoObs,,
563.01,5.4260,249,17,108.6355,0.0069,15.28368,0.00064,16,65,0.017,0.012,0.7,1.7,1.8,0.124,734,1.0E-04,2,,,
564.01,7.4094,579,27,104.8916,0.0054,21.05821,0.00075,22.39,0.5,0.02326,0.00051,0.019,0.01,2.4,0.152,619,6.7E-05,2,,,
564.02,13.5324,2840,86,179.495,0.003,127.8872,0.0024,75.79,0.58,0.04929,0.00037,0.013,0.04,5.0,0.505,340,-,4,,,
566.01,4.0033,632,16,125.5736,0.0064,25.8548,0.002,50,682,0.024,0.058,0.2,4.3,2.3,0.175,586,6.1E-05,3,,,
567.01,3.3311,703,40,102.9293,0.0024,10.68782,0.00018,15,23,0.0286,0.0075,0.82,0.83,2.9,0.096,758,5.6E-05,2,NoObs,,
567.02,4.4409,463,23,109.8004,0.005,20.3032,0.00071,21,73,0.023,0.013,0.8,1.3,2.3,0.147,612,6.1E-05,2,NoObs,,
567.03,3.4536,567,20,131.3635,0.0042,29.02356,0.00067,66,682,0.022,0.043,0.1,3.8,2.2,0.187,543,5.6E-05,2,NoObs,,
568.01,1.3950,254,22,102.64,0.0023,3.383517,0.000051,16,66,0.016,0.012,0.6,1.9,1.0,0.043,856,3.6E-05,2,NoObs,,
569.01,2.7713,528,17,118.4404,0.0043,20.72804,0.00067,60.2,3.3,0.02221,0.00096,0.017,0.01,2.1,0.144,540,1.9E-05,3,,,
571.01,2.2027,647,28,107.316,0.0026,7.26733,0.00013,26,106,0.024,0.015,0.1,2.4,1.7,0.059,563,1.2E-04,2,1,,
571.02,2.6903,817,32,109.9,0.0023,13.34331,0.00015,40,1.2,0.02827,0.00067,0.0141,-,2.0,0.088,461,1.2E-04,2,1,,
571.03,1.8168,500,29,66.3315,0.0023,3.886758,0.000038,9,17,0.026,0.007,0.87,0.8,1.8,0.039,692,-,4,,,
572.01,5.2873,356,25,112.774,0.0054,10.6405,0.00042,16.33,0.39,0.01827,0.00045,0.024,0.01,2.4,0.097,882,1.3E-04,2,,,
573.01,3.1200,646,35,105.5032,0.0026,5.9966,0.00011,14,52,0.025,0.018,0.3,2.1,3.2,0.066,1054,2.0E-05,2,,,
573.02,2.0590,211,16,66.2019,0.0048,2.061872,0.000042,8.378,0.08,0.01674,0.00053,0.0437,-,2.1,0.033,1491,-,4,,,
574.01,3.4080,1030,36,104.3661,0.003,20.13504,0.0004,41,162,0.031,0.025,0.4,2.1,2.4,0.14,507,3.0E-05,2,,,
575.01,4.1934,519,16,116.4044,0.0064,24.3178,0.0012,32,165,0.024,0.022,0.7,1.9,2.6,0.169,640,3.8E-05,3,,,
577.01,5.2888,461,9,111.55,0.011,39.6729,0.003,59,477,0.02,0.034,0.1,3.4,2.6,0.227,502,3.5E-05,3,,,
578.01,5.1938,1081,90,102.8794,0.0015,6.412547,0.000063,9.811,0.082,0.03075,0.00023,0.004,-,3.8,0.069,1035,4.1E-05,2,,,
579.01,1.8672,294,31,103.0698,0.0021,2.020003,0.000028,9.093,0.05,0.01747,0.00038,0.0295,-,1.5,0.03,1154,4.1E-05,2,NoObs,,
580.01,2.7903,685,32,108.7093,0.0025,6.52125,0.00011,18,95,0.025,0.025,0,2.7,1.5,0.067,716,3.9E-05,2,,,
581.01,2.6717,1111,49,108.9144,0.0016,6.996895,0.000074,20.47,0.39,0.03159,0.00048,0.001,-,2.1,0.07,714,4.2E-05,2,,,
582.01,2.5505,778,34,103.4687,0.002,5.945053,0.000083,17,74,0.027,0.024,0.4,2.3,2.2,0.062,783,3.7E-05,3,,,
583.01,3.1312,227,28,103.7392,0.0033,2.436893,0.000055,4,12,0.0164,0.0083,0.7,1.4,1.6,0.036,1266,2.8E-05,3,,,
584.01,3.7109,663,47,108.6885,0.0021,9.9265,0.00015,21.68,0.46,0.02287,0.0004,0.0173,-,1.6,0.088,633,2.2E-05,2,1,,
584.02,4.4730,509,27,103.3728,0.0044,21.22343,0.00069,37,1.1,0.02177,0.00053,0.025,0.01,1.5,0.146,492,2.3E-05,2,1,,
585.01,1.9189,754,37,104.558,0.0017,3.722176,0.000042,15.33,0.43,0.02686,0.00053,0.0528,-,2.0,0.046,932,3.8E-05,2,,,
586.01,3.7971,526,23,108.9754,0.0041,15.77916,0.00044,22,72,0.024,0.014,0.7,1.4,2.1,0.124,630,1.7E-05,3,,,
587.01,3.4973,752,38,104.6019,0.0028,14.03513,0.00026,25,63,0.028,0.014,0.6,1.5,3.0,0.113,672,5.7E-05,2,,,
588.01,2.6497,548,19,108.6871,0.0041,10.35547,0.0003,23,100,0.023,0.023,0.7,1.9,2.2,0.085,619,1.4E-05,2,,,
589.01,4.2971,174,8.6,119.5356,0.0092,17.4808,0.00085,21,180,0.014,0.02,0.8,2.2,1.2,0.134,637,3.2E-05,3,NoObs,,
590.01,3.7243,380,22,107.5461,0.0045,11.38933,0.00035,17,72,0.021,0.015,0.7,1.7,2.1,0.102,809,7.0E-05,2,,,
590.02,5.8287,567,20,74.3251,0.0073,50.6962,0.0017,68.1,2.4,0.02208,0.00071,0.031,0.063,2.2,0.276,492,-,4,,,
592.01,4.7864,440,19,108.4815,0.0061,39.7521,0.0018,35,85,0.0229,0.0088,0.85,0.98,2.7,0.234,550,4.4E-05,3,,,
593.01,3.2745,483,16,104.7889,0.0051,9.99757,0.00034,18,124,0.023,0.028,0.7,2.4,2.1,0.092,760,5.2E-05,2,,,
596.01,1.3419,635,42,103.4508,0.0012,1.682706,0.000014,10.097,0.022,0.02575,0.00042,0.0338,-,1.7,0.022,864,1.6E-05,2,NoObs,,
597.01,4.8348,470,17,109.9401,0.0056,17.30819,0.00069,27.63,0.97,0.02229,0.00072,0.014,0.01,2.6,0.135,724,3.4E-05,2,,,
597.02,2.6017,169,14,66.0722,0.0064,2.092181,0.000057,6.2,1.9,0.01204,0.00079,-,-,1.4,0.033,1464,-,4,,,
598.01,2.9641,707,34,104.1666,0.0027,8.30811,0.00016,21.48,0.56,0.02527,0.00052,0.0223,-,1.7,0.077,644,2.6E-05,2,,,
599.01,2.4207,535,29,106.2091,0.0027,6.45469,0.00012,17,93,0.023,0.022,0.6,2.2,2.3,0.069,935,6.6E-05,3,,,
600.01,2.5733,357,26,103.3635,0.0032,3.59594,0.00011,10.27,0.33,0.01839,0.00049,0.0478,-,2.1,0.047,1213,2.2E-05,3,,,
601.01,2.5206,760,19,105.1847,0.0038,5.40425,0.00014,17.1,1.6,0.0182,0.0015,0.11,0.01,1.7,0.062,974,2.8E-05,2,NoObs,,
602.01,5.2372,410,19,110.2739,0.0063,12.91408,0.00054,19.55,0.77,0.01904,0.00068,0.002,0.01,2.3,0.111,831,3.2E-05,3,,,
605.01,1.7663,903,54,102.7178,0.0011,2.628144,0.00002,11.29,0.26,0.02757,0.00044,0.023,0.033,1.6,0.031,782,4.8E-05,2,,,
607.01,1.5864,6124,74,106.48563,0.00036,5.894028,0.000052,39.45,0.91,0.07544,0.00093,0.031,0.032,6.8,0.064,871,-,3,,1,
609.01,1.8343,3942,56,105.028,0.0011,4.396913,0.000034,9.4,2.8,0.089,0.011,0.92,0.28,12.0,0.054,1200,2.1E-05,3,,,
